appid,discount_start,playtime_filter,positive_count_before,negative_count_before,positive_count_during,negative_count_during,before_days,during_days,response_rate_positive,response_rate_negative,positive_rate_before,positive_rate_during,positive_rate_delta,sentiment_group
391540,2026-03-02,10h,1754,44,762,25,30,14,-0.069067,0.217532,0.975528,0.968234,-0.007295,down
391540,2026-03-19,10h,1666,49,391,3,30,7,0.005831,-0.737609,0.971429,0.992386,0.020957,up
261550,2025-09-22,10h,1385,170,987,109,30,14,0.527076,0.37395,0.890675,0.900547,0.009872,up
261550,2025-11-26,10h,1581,197,2453,634,30,14,2.324749,5.896302,0.889201,0.794623,-0.094579,down
261550,2025-12-18,10h,3653,883,1510,298,30,18,-0.311069,-0.437524,0.805335,0.835177,0.029842,up
261550,2026-03-19,10h,1469,248,392,60,30,7,0.143635,0.036866,0.855562,0.867257,0.011695,up
1326470,2026-03-19,10h,2161,152,875,49,30,7,0.735308,0.381579,0.934284,0.94697,0.012685,up
1144200,2026-02-05,10h,2053,346,685,118,30,10,0.000974,0.023121,0.855773,0.853051,-0.002722,neutral
1144200,2026-03-19,10h,2810,504,1356,245,30,7,1.068124,1.083333,0.847918,0.846971,-0.000947,neutral
526870,2025-12-01,10h,4884,72,722,16,30,7,-0.366444,-0.047619,0.985472,0.97832,-0.007152,down
526870,2025-12-18,10h,4923,67,1903,43,30,18,-0.355745,0.069652,0.986573,0.977903,-0.00867,down
526870,2026-03-05,10h,2349,64,2275,43,30,21,0.383567,-0.040179,0.973477,0.98145,0.007973,up
1468810,2024-05-27,10h,212,100,49,21,30,7,-0.009434,-0.1,0.679487,0.7,0.020513,up
1468810,2024-06-27,10h,259,111,160,48,30,14,0.323773,-0.073359,0.7,0.769231,0.069231,up
1468810,2024-11-06,10h,222,61,46,20,30,6,0.036036,0.639344,0.784452,0.69697,-0.087483,down
1468810,2024-12-12,10h,298,189,70,43,30,7,0.006711,-0.024943,0.61191,0.619469,0.007559,up
1468810,2024-12-20,10h,270,228,306,192,30,13,1.615385,0.94332,0.542169,0.614458,0.072289,up
